Organism	Pathway Name	#Reactions	Evidence
GCF_000014905	GLUCARDEG-PWY	4	EV-COMP-AINF
GCF_000014905	PWY-7221	4	EV-COMP-AINF
GCF_000014905	PWY-8072	1	EV-COMP-AINF
GCF_000014905	PWY0-901	3	EV-COMP-AINF
GCF_000014905	PWY-6700	4	EV-COMP-AINF
GCF_000014905	PWY-7185	7	EV-COMP-AINF
GCF_000014905	2PHENDEG-PWY	2	EV-COMP-AINF
GCF_000014905	PWY-5437	6	EV-COMP-AINF
GCF_000014905	PWY-7242	4	EV-COMP-AINF
GCF_000014905	PWY-6041	4	EV-COMP-AINF
GCF_000014905	PWY0-1336	2	EV-COMP-AINF
GCF_000014905	THISYN-PWY	11	EV-COMP-AINF
GCF_000014905	PWY-6894	2	EV-COMP-AINF
GCF_000014905	PWY-6938-1	4	EV-COMP-AINF
GCF_000014905	PWY0-1586	12	EV-COMP-AINF
GCF_000014905	PWY-5296	5	EV-COMP-AINF
GCF_000014905	PWY-6756	1	EV-COMP-AINF
GCF_000014905	PWY-8138	2	EV-COMP-AINF
GCF_000014905	PWY0-381	5	EV-COMP-AINF
GCF_000014905	PHESYN	3	EV-COMP-AINF
GCF_000014905	PWY-8165	2	EV-COMP-AINF
GCF_000014905	ARGASEDEG-PWY	3	EV-COMP-AINF
GCF_000014905	PANTO-PWY	4	EV-COMP-AINF
GCF_000014905	PWY-7183	1	EV-COMP-AINF
GCF_000014905	GLUCARGALACTSUPER-PWY	8	EV-COMP-AINF
GCF_000014905	PWY-6353	13	EV-COMP-AINF
GCF_000014905	SALVPURINE2-PWY	2	EV-COMP-AINF
GCF_000014905	PWY-5382	1	EV-COMP-AINF
GCF_000014905	PWY0-1568	2	EV-COMP-AINF
GCF_000014905	PWY-5971	31	EV-COMP-AINF
GCF_000014905	PWY0-662	1	EV-COMP-AINF
GCF_000014905	PWY0-1576	2	EV-COMP-AINF
GCF_000014905	PWY-7892	11	EV-COMP-AINF
GCF_000014905	SALVADEHYPOX-PWY	5	EV-COMP-AINF
GCF_000014905	MENAQUINONESYN-PWY	1	EV-COMP-AINF
GCF_000014905	OXIDATIVEPENT-PWY	3	EV-COMP-AINF
GCF_000014905	PWY-4984	5	EV-COMP-AINF
GCF_000014905	PWY-7228	6	EV-COMP-AINF
